term,devanāgarī,meaning
mokṣa,मोक्ष,liberation
mūla,मूल,root
mūlabandha,मूलबन्ध,root lock
mūlādhāra cakra,मूलाधार चक्र,root center
namaskāra,नमस्कार,greeting
nāṭarāja,नटराज,dancing Shiva
naulī,नौली,abdominal churning
oṃ,ॐ,sacred sound
parigha,परिघ,gate
parigraha,परिग्रह,possession
paripūrṇa,परिपूर्ण,complete
piṅgalā,पिङ्गला,sun channel
pitta,पित्त,bile
prakṛti,प्रकृति,nature
pratiṣṭhā,प्रतिष्ठा,foundation
pūraka,पूरक,inhalation
pūrvoṭṭānāsana,पूर्वोत्तानासन,intense stretch
rāga,राग,passion
rāja,राज,king
rajas,रजस्,activity
recaka,रेचक,exhalation
sādhana,साधन,practice
sahasrāra cakra,सहस्रार चक्र,crown center
sahita,सहित,accompanied
sālamba,सालम्ब,supported
samādhāna,समाधान,peace
samāsthiti,समास्थिति,balanced state
saṃskāra,संस्कार,impression
saṃyama,संयम,integration
santoṣa,सन्तोष,contentment
sarvāṅga,सर्वाङ्ग,whole body
sattva,सत्त्व,purity
śauca,शौच,cleanliness
śakti,शक्ति,energy
śiśuka,शिशुक,dolphin
siṃha,सिंह,lion
śītalī,शीतली,cooling breath
sukham,सुखम्,ease
sūrya,सूर्य,sun
suṣumṇā,सुषुम्ना,central channel
svādhiṣṭhāna cakra,स्वाधिष्ठान चक्र,sacral center
svāna,स्वान,dog
tāḍāsana,ताडासन,mountain pose
tamas,तमस्,darkness
tantra,तन्त्र,expansion
tiriyaṅ,त्रियङ्ग,three limbs
tittibha,तित्तिभ,firefly
tulā,तुला,balance
trikona,त्रिकोण,triangle
udāna,उदान,upward energy
uḍḍiyāna,उड्डियान,abdominal lift
ujjāyī,उज्जायी,victorious
upaniṣad,उपनिषद्,philosophical text
upaviṣṭa,उपविष्ट,seated
utpluti,उत्प्लुति,lifting
vakra,वक्र,crooked
vāta,वात,wind
vidyā,विद्या,knowledge
viloma,विलोम,against order
viparīta,विपरीत,inverted
viśuddha cakra,विशुद्ध चक्र,throat center
vṛścika,वृश्चिक,scorpion
vyāna,व्यान,pervasive energy
śabdakośaḥ, शब्दकोशः, collection of words
